WARNING 2025-07-06 20:47:51,944 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:51,945 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:47:55,817 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:47:55,818 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:50:16,309 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:50:16,310 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:50:45,890 log 7755 140091901081280 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:50:45,890 basehttp 7755 140091901081280 "GET /api/v1/customers/ HTTP/1.1" 401 5182
INFO 2025-07-06 20:50:45,909 basehttp 7755 140091901081280 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-07-06 20:50:45,909 basehttp 7755 140091892688576 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3385
INFO 2025-07-06 20:50:45,911 basehttp 7755 140091892688576 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-07-06 20:50:45,951 basehttp 7755 140091901081280 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-07-06 20:50:45,962 basehttp 7755 140091892688576 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
INFO 2025-07-06 20:50:45,964 basehttp 7755 140091892688576 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3597
INFO 2025-07-06 20:50:46,001 basehttp 7755 140091901081280 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1719
INFO 2025-07-06 20:50:46,012 basehttp 7755 140091892688576 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-07-06 20:50:46,051 basehttp 7755 140091901081280 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-07-06 20:50:46,062 basehttp 7755 140091892688576 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-07-06 20:50:46,102 basehttp 7755 140091901081280 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-07-06 20:51:24,797 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:51:24,797 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:53:02,508 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:53:02,509 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:53:04,985 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:53:04,985 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
INFO 2025-07-06 20:56:26,122 basehttp 7755 140092124427968 "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
WARNING 2025-07-06 20:56:26,129 log 7755 140092124427968 Not Found: /api/v1/auth/login/
WARNING 2025-07-06 20:56:26,129 basehttp 7755 140092124427968 "POST /api/v1/auth/login/ HTTP/1.1" 404 9052
INFO 2025-07-06 20:56:32,403 basehttp 7755 140092124427968 "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
WARNING 2025-07-06 20:56:32,409 log 7755 140092124427968 Not Found: /api/v1/auth/login/
WARNING 2025-07-06 20:56:32,409 basehttp 7755 140092124427968 "POST /api/v1/auth/login/ HTTP/1.1" 404 9052
INFO 2025-07-06 20:56:39,480 basehttp 7755 140091892688576 "GET /admin/ HTTP/1.1" 200 21021
INFO 2025-07-06 20:56:39,490 basehttp 7755 140091892688576 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,498 basehttp 7755 140091901081280 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,498 basehttp 7755 140092112889536 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,501 basehttp 7755 140091884295872 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,502 basehttp 7755 140091875903168 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,502 basehttp 7755 140092112889536 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,503 basehttp 7755 140091901081280 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,542 basehttp 7755 140091892688576 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-07-06 20:56:39,543 basehttp 7755 140091875903168 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-07-06 20:56:40,489 basehttp 7755 140091892688576 "GET /admin/ HTTP/1.1" 200 21021
INFO 2025-07-06 20:59:12,501 basehttp 7755 140092124427968 "OPTIONS /api/v1/auth/token/ HTTP/1.1" 200 0
INFO 2025-07-06 20:59:12,708 basehttp 7755 140092124427968 "POST /api/v1/auth/token/ HTTP/1.1" 200 483
WARNING 2025-07-06 20:59:12,802 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:59:12,802 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:59:26,815 log 7755 140092124427968 Unauthorized: /api/v1/quotes/
WARNING 2025-07-06 20:59:26,815 basehttp 7755 140092124427968 "GET /api/v1/quotes/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:59:41,664 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:59:41,664 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:59:43,156 log 7755 140092124427968 Unauthorized: /api/v1/customers/
WARNING 2025-07-06 20:59:43,156 basehttp 7755 140092124427968 "GET /api/v1/customers/ HTTP/1.1" 401 33
WARNING 2025-07-06 20:59:50,388 log 7755 140092124427968 Unauthorized: /api/v1/quotes/
